student_id,faculty_id,subject,class_day,attendance
1,1,Major Project,1,0
1,1,Major Project,2,1
1,1,Major Project,3,1
1,1,Major Project,4,1
1,1,Major Project,5,1
1,1,Major Project,6,1
1,1,Major Project,7,0
1,1,Major Project,8,1
1,1,Major Project,9,1
1,1,Major Project,10,0
1,2,Maths,1,1
1,2,Maths,2,1
1,2,Maths,3,0
1,2,Maths,4,1
1,2,Maths,5,1
1,2,Maths,6,0
1,2,Maths,7,1
1,2,Maths,8,1
1,2,Maths,9,1
1,2,Maths,10,1
1,3,Data Analytics,1,1
1,3,Data Analytics,2,0
1,3,Data Analytics,3,1
1,3,Data Analytics,4,1
1,3,Data Analytics,5,0
1,3,Data Analytics,6,1
1,3,Data Analytics,7,1
1,3,Data Analytics,8,1
1,3,Data Analytics,9,1
1,3,Data Analytics,10,1
1,4,Cloud Computing,1,0
1,4,Cloud Computing,2,1
1,4,Cloud Computing,3,1
1,4,Cloud Computing,4,1
1,4,Cloud Computing,5,1
1,4,Cloud Computing,6,1
1,4,Cloud Computing,7,0
1,4,Cloud Computing,8,1
1,4,Cloud Computing,9,1
1,4,Cloud Computing,10,0
1,5,Java Full Stack,1,1
1,5,Java Full Stack,2,1
1,5,Java Full Stack,3,0
1,5,Java Full Stack,4,1
1,5,Java Full Stack,5,1
1,5,Java Full Stack,6,1
1,5,Java Full Stack,7,1
1,5,Java Full Stack,8,1
1,5,Java Full Stack,9,0
1,5,Java Full Stack,10,1
2,1,Major Project,1,1
2,1,Major Project,2,1
2,1,Major Project,3,1
2,1,Major Project,4,1
2,1,Major Project,5,1
2,1,Major Project,6,0
2,1,Major Project,7,1
2,1,Major Project,8,1
2,1,Major Project,9,0
2,1,Major Project,10,1
2,2,Maths,1,1
2,2,Maths,2,0
2,2,Maths,3,1
2,2,Maths,4,1
2,2,Maths,5,1
2,2,Maths,6,1
2,2,Maths,7,1
2,2,Maths,8,0
2,2,Maths,9,1
2,2,Maths,10,1
2,3,Data Analytics,1,0
2,3,Data Analytics,2,1
2,3,Data Analytics,3,1
2,3,Data Analytics,4,1
2,3,Data Analytics,5,1
2,3,Data Analytics,6,1
2,3,Data Analytics,7,0
2,3,Data Analytics,8,1
2,3,Data Analytics,9,1
2,3,Data Analytics,10,1
2,4,Cloud Computing,1,1
2,4,Cloud Computing,2,1
2,4,Cloud Computing,3,1
2,4,Cloud Computing,4,1
2,4,Cloud Computing,5,1
2,4,Cloud Computing,6,1
2,4,Cloud Computing,7,1
2,4,Cloud Computing,8,1
2,4,Cloud Computing,9,0
2,4,Cloud Computing,10,1
2,5,Java Full Stack,1,1
2,5,Java Full Stack,2,0
2,5,Java Full Stack,3,1
2,5,Java Full Stack,4,1
2,5,Java Full Stack,5,0
2,5,Java Full Stack,6,1
2,5,Java Full Stack,7,1
2,5,Java Full Stack,8,0
2,5,Java Full Stack,9,1
2,5,Java Full Stack,10,1
3,1,Major Project,1,1
3,1,Major Project,2,1
3,1,Major Project,3,1
3,1,Major Project,4,1
3,1,Major Project,5,1
3,1,Major Project,6,1
3,1,Major Project,7,1
3,1,Major Project,8,1
3,1,Major Project,9,1
3,1,Major Project,10,1
3,2,Maths,1,0
3,2,Maths,2,1
3,2,Maths,3,1
3,2,Maths,4,0
3,2,Maths,5,1
3,2,Maths,6,1
3,2,Maths,7,1
3,2,Maths,8,1
3,2,Maths,9,1
3,2,Maths,10,1
3,3,Data Analytics,1,1
3,3,Data Analytics,2,1
3,3,Data Analytics,3,1
3,3,Data Analytics,4,1
3,3,Data Analytics,5,1
3,3,Data Analytics,6,1
3,3,Data Analytics,7,1
3,3,Data Analytics,8,1
3,3,Data Analytics,9,1
3,3,Data Analytics,10,1
3,4,Cloud Computing,1,1
3,4,Cloud Computing,2,0
3,4,Cloud Computing,3,1
3,4,Cloud Computing,4,1
3,4,Cloud Computing,5,0
3,4,Cloud Computing,6,1
3,4,Cloud Computing,7,1
